noc21_code_name,posting_count,total_vacancies,valid_salary_postings,median_hourly_salary,salary_coverage_percentage,cluster,cluster_name
"Managers in social, community and correctional services",73,94,50,30.889423076923077,68.5,0,"Moderate demand, strong salary coverage"
Managers in transportation,81,84,53,48.95576923076923,65.4,1,"Higher salary, limited salary coverage"
Manufacturing managers,149,150,55,42.5,36.9,1,"Higher salary, limited salary coverage"
Massage therapists,235,281,164,40.0,69.8,0,"Moderate demand, strong salary coverage"
Material handlers,920,1131,426,22.4375,46.3,1,"Higher salary, limited salary coverage"
"Mathematicians, statisticians and actuaries",35,35,9,38.46153846153846,25.7,1,"Higher salary, limited salary coverage"
Maîtres d'hôtel and hosts/hostesses,49,82,42,17.4,85.7,0,"Moderate demand, strong salary coverage"
Meat cutters and fishmongers – retail and wholesale,125,162,44,21.21,35.2,1,"Higher salary, limited salary coverage"
Mechanical assemblers and inspectors,71,80,16,25.25,22.5,1,"Higher salary, limited salary coverage"
Mechanical engineering technologists and technicians,221,235,134,30.540865384615387,60.6,0,"Moderate demand, strong salary coverage"
Mechanical engineers,225,257,51,41.82692307692307,22.7,1,"Higher salary, limited salary coverage"
Medical administrative assistants,87,111,79,23.5,90.8,0,"Moderate demand, strong salary coverage"
Medical laboratory assistants and related technical occupations,75,75,53,24.205,70.7,0,"Moderate demand, strong salary coverage"
Medical laboratory technologists,117,120,103,34.925,88.0,0,"Moderate demand, strong salary coverage"
Medical radiation technologists,78,83,60,41.0,76.9,0,"Moderate demand, strong salary coverage"
Medical sonographers,50,55,37,40.5,74.0,0,"Moderate demand, strong salary coverage"
Metalworking and forging machine operators,56,80,40,24.75,71.4,0,"Moderate demand, strong salary coverage"
"Motion pictures, broadcasting, photography and performing arts assistants and operators",22,22,15,20.0,68.2,0,"Moderate demand, strong salary coverage"
"Motorcycle, all-terrain vehicle and other related mechanics",40,48,35,30.0,87.5,0,"Moderate demand, strong salary coverage"
"Natural and applied science policy researchers, consultants and program officers",109,118,70,33.56,64.2,0,"Moderate demand, strong salary coverage"
"Nurse aides, orderlies and patient service associates",1146,1752,940,24.005000000000003,82.0,0,"Moderate demand, strong salary coverage"
Nurse practitioners,271,291,179,57.75,66.1,1,"Higher salary, limited salary coverage"
Nursery and greenhouse labourers,67,543,60,17.73,89.6,0,"Moderate demand, strong salary coverage"
Nursing coordinators and supervisors,85,85,43,36.7839375,50.6,1,"Higher salary, limited salary coverage"
Occupational health and safety specialists,155,159,59,40.0,38.1,1,"Higher salary, limited salary coverage"
Occupational therapists,156,203,64,42.505,41.0,1,"Higher salary, limited salary coverage"
Oil and gas well drilling and related workers and services operators,20,65,16,45.75,80.0,0,"Moderate demand, strong salary coverage"
"Operators and attendants in amusement, recreation and sport",73,925,63,19.825,86.3,0,"Moderate demand, strong salary coverage"
Opticians,153,153,32,28.673076923076923,20.9,1,"Higher salary, limited salary coverage"
Optometrists,54,54,11,79.32692307692307,20.4,1,"Higher salary, limited salary coverage"
Other administrative services managers,218,223,98,43.99519230769231,45.0,1,"Higher salary, limited salary coverage"
Other assisting occupations in support of health services,134,142,108,21.0,80.6,0,"Moderate demand, strong salary coverage"
Other business services managers,35,36,18,46.85096153846154,51.4,1,"Higher salary, limited salary coverage"
Other customer and information services representatives,3141,3427,623,20.91346153846154,19.8,2,"Very high demand, lower salary"
Other financial officers,89,90,6,38.531875,6.7,1,"Higher salary, limited salary coverage"
Other instructors,45,53,39,31.25,86.7,0,"Moderate demand, strong salary coverage"
"Other labourers in processing, manufacturing and utilities",191,428,143,19.48,74.9,0,"Moderate demand, strong salary coverage"
Other managers in public administration,22,22,15,48.1,68.2,0,"Moderate demand, strong salary coverage"
Other medical technologists and technicians,232,236,10,25.49,4.3,1,"Higher salary, limited salary coverage"
Other practitioners of natural healing,28,35,18,33.26677884615385,64.3,0,"Moderate demand, strong salary coverage"
"Other products assemblers, finishers and inspectors",33,68,31,21.5,93.9,0,"Moderate demand, strong salary coverage"
Other professional occupations in health diagnosing and treating,40,41,31,59.010000000000005,77.5,0,"Moderate demand, strong salary coverage"
Other repairers and servicers,56,69,53,23.0,94.6,0,"Moderate demand, strong salary coverage"
Other sales related occupations,2052,2105,138,26.442307692307693,6.7,2,"Very high demand, lower salary"
Other service support occupations,196,294,60,20.0,30.6,1,"Higher salary, limited salary coverage"
